itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
229253,Emergency Equipment at bedside (RVAD),Emergency Equipment at bedside (RVAD),chartevents,Centrimag,,Text,,
229254,Flow (LVAD),Flow (LVAD),chartevents,Centrimag,L/min,Numeric,,
229255,Flow (RVAD),Flow (RVAD),chartevents,Centrimag,L/min,Numeric,,
229256,Flow Alarm (Hi) (LVAD),Flow Alarm (Hi) (LVAD),chartevents,Centrimag,None,Numeric,,
229257,Flow Alarm (Hi) (RVAD),Flow Alarm (Hi) (RVAD),chartevents,Centrimag,None,Numeric,,
229258,Flow Alarm (Lo) (LVAD),Flow Alarm (Lo) (LVAD),chartevents,Centrimag,None,Numeric,,
229259,Flow Alarm (Lo) (RVAD),Flow Alarm (Lo) (RVAD),chartevents,Centrimag,None,Numeric,,
229260,Flow Sensor repositioned (LVAD),Flow Sensor repositioned (LVAD),chartevents,Centrimag,,Text,,
229261,Flow Sensor repositioned (RVAD),Flow Sensor repositioned (RVAD),chartevents,Centrimag,,Text,,
229262,Speed (LVAD),Speed (LVAD),chartevents,Centrimag,RPM,Numeric,,
229263,Speed (RVAD),Speed (RVAD),chartevents,Centrimag,RPM,Numeric,,
229264,Suction events (LVAD),Suction events (LVAD),chartevents,Centrimag,,Text,,
229265,Suction events (RVAD),Suction events (RVAD),chartevents,Centrimag,,Text,,
224341,Acuity (CVL),Acuity (CVL),chartevents,CVL Insertion,,Text,,
226230,Attending/Supervisor is Clinician Operator (CVL),Attending/Supervisor is Clinician Operator (CVL),chartevents,CVL Insertion,,Checkbox,,
224345,Barrier precautions in place (CVL),Barrier precautions in place (CVL),chartevents,CVL Insertion,,Text,,
227105,Catheter insertion length (CVL),Catheter insertion length (CVL),chartevents,CVL Insertion,cm,Numeric,,
225707,Central Line ordered on POE,Central Line ordered on POE,chartevents,CVL Insertion,,Checkbox,,
228036,Central Line ordered on POE,Central Line ordered on POE,chartevents,CVL Insertion,,Text,,
230071,Documented in DC Summary (CVL),Documented in DC Summary (CVL),chartevents,CVL Insertion,,Text,,
229782,Estimated Blood Loss (CVL),EBL (CVL),chartevents,CVL Insertion,mL,Numeric,,
225702,Follow-up chest X-RAY ordered (CVL),Follow-up chest X-RAY ordered (CVL),chartevents,CVL Insertion,,Checkbox,,
228037,Follow-up chest X-RAY ordered (CVL),Follow-up chest X-RAY ordered (CVL),chartevents,CVL Insertion,,Text,,
224339,Guidewire exchange (CVL),Guidewire exchange (CVL),chartevents,CVL Insertion,,Text,,
225705,Hand cleansing prior to procedure (CVL),Hand cleansing prior to procedure (CVL),chartevents,CVL Insertion,,Checkbox,,
228032,Hand cleansing prior to procedure (CVL),Hand cleansing prior to procedure (CVL),chartevents,CVL Insertion,,Text,,
228040,I was present during the above procedure and agree with the checklist (CVL),I was present during the above procedure (CVL),chartevents,CVL Insertion,,Checkbox,,
225700,Immediate complications (CVL),Immediate complications (CVL),chartevents,CVL Insertion,,Checkbox,,
228038,Immediate complications (CVL),Immediate complications (CVL),chartevents,CVL Insertion,,Text,,
225578,Indications (CVL),Indications (CVL),chartevents,CVL Insertion,,Text,,
225706,Insertion kit used (CVL),Insertion kit used (CVL),chartevents,CVL Insertion,,Checkbox,,
228031,Insertion kit used (CVL),Insertion kit used (CVL),chartevents,CVL Insertion,,Text,,
224337,Insertion site (CVL),Insertion site (CVL),chartevents,CVL Insertion,,Text,,
225580,Is alternative vascular access present (CVL),Is alternative vascular access (CVL),chartevents,CVL Insertion,,Checkbox,,
228030,Is alternative vascular access present (CVL),Is alternative vascular access present (CVL),chartevents,CVL Insertion,,Text,,
225581,Location (CVL),Location (CVL),chartevents,CVL Insertion,,Text,,
229605,Manometry,Manometry Performed,chartevents,CVL Insertion,,Text,,
229606,Manometry Method,Method,chartevents,CVL Insertion,,Text,,
224351,Number of attempts required to place line (CVL),Number of attempts required to place line (CVL),chartevents,CVL Insertion,,Text,,
228384,Number of days (CVL),Number of days (CVL),chartevents,CVL Insertion,None,Numeric,,
224629,Number of operators (CVL),Number of operators (CVL),chartevents,CVL Insertion,,Text,,
224348,Patient identified correctly (CVL),Patient identified correctly (CVL),chartevents,CVL Insertion,,Text,,
226232,Present during key moments and agree with checklist (CVL),Present during procedure/agree w/ checklist (CVL),chartevents,CVL Insertion,,Checkbox,,
224340,Side (CVL),Side (CVL),chartevents,CVL Insertion,,Text,,
225704,Site cleaned with ChloraPrep(TM) (CVL),Site cleaned with ChloraPrep(TM) (CVL),chartevents,CVL Insertion,,Checkbox,,
228033,Site cleaned with ChloraPrep(TM) (CVL),Site cleaned with ChloraPrep(TM) (CVL),chartevents,CVL Insertion,,Text,,
226005,Sterile field maintained throughout procedure (CVL),Sterile field throughout procedure (CVL),chartevents,CVL Insertion,,Checkbox,,
228034,Sterile field maintained throughout procedure (CVL),Sterile field throughout procedure (CVL),chartevents,CVL Insertion,,Text,,
228039,The Attending/Supervisor is the Clinician Operator (CVL),The Attending/Supervisor is the Operator (CVL),chartevents,CVL Insertion,,Checkbox,,
224347,Timeout performed by (CVL),Timeout performed by (CVL),chartevents,CVL Insertion,,Text,,
225701,Transparent dressing applied and dated (CVL),Transparent dressing applied  (CVL),chartevents,CVL Insertion,,Checkbox,,
228035,Transparent dressing applied and dated (CVL),Transparent dressing applied and dated (CVL),chartevents,CVL Insertion,,Text,,
229503,Trendelenburg position during insertion (CVL),Trendelenburg position during insertion (CVL),chartevents,CVL Insertion,,Text,,
224336,Type of catheter (CVL),Type of catheter (CVL),chartevents,CVL Insertion,,Text,,
224468,Ultrasound (CVL),Ultrasound (CVL),chartevents,CVL Insertion,,Text,,
229612,Ultrasound Images interpreted (CVL),Ultrasound Images interpreted (CVL),chartevents,CVL Insertion,,Text,,
229588,Ultrasound Images Interpreted and Stored (CVL),Ultrasound Images Interpreted and Stored (CVL),chartevents,CVL Insertion,,Text,,
229610,Ultrasound Images printed (CVL),Ultrasound Images printed (CVL),chartevents,CVL Insertion,,Text,,
229608,Ultrasound Images probe covered (CVL),Ultrasound Images probe covered (CVL),chartevents,CVL Insertion,,Text,,
229609,Ultrasound Images stored (CVL),Ultrasound Images stored (CVL),chartevents,CVL Insertion,,Text,,
229611,Ultrasound Images uploaded (CVL),Ultrasound Images uploaded (CVL),chartevents,CVL Insertion,,Text,,
229607,Ultrasound Images used for preproc assess (CVL),Ultrasound Images used for preproc assess (CVL),chartevents,CVL Insertion,,Text,,
224349,Verification of (CVL),Verification of (CVL),chartevents,CVL Insertion,,Text,,
224149,Access Pressure,Access Pressure,chartevents,Dialysis,mmHg,Numeric,,
224404,ART Lumen Volume,ART Lumen Volume,chartevents,Dialysis,mL,Numeric,,
224144,Blood Flow (ml/min),Blood Flow (ml/min),chartevents,Dialysis,ml/min,Numeric,,
228004,Citrate (ACD-A),Citrate (ACD-A),chartevents,Dialysis,ml/hr,Numeric,,
225436,CRRT Filter Change,CRRT Filter Change,procedureevents,Dialysis,None,Processes,,
227290,CRRT mode,CRRT mode,chartevents,Dialysis,,Text,,
225183,Current Goal,Current Goal,chartevents,Dialysis,mL,Numeric,,
225977,Dialysate Fluid,Dialysate Fluid,chartevents,Dialysis,,Text,,
230085,Dialysate Fluid,Dialysate Fluid,chartevents,Dialysis,,Text,,
224154,Dialysate Rate,Dialysate Rate,chartevents,Dialysis,ml/hr,Numeric,,
225802,Dialysis - CRRT,Dialysis - CRRT,procedureevents,Dialysis,None,Processes,,
225803,Dialysis - CVVHD,Dialysis - CVVHD,procedureevents,Dialysis,None,Processes,,
225809,Dialysis - CVVHDF,Dialysis - CVVHDF,procedureevents,Dialysis,None,Processes,,
225955,Dialysis - SCUF,Dialysis - SCUF,procedureevents,Dialysis,None,Processes,,
224135,Dialysis Access Site,Dialysis Access Site,chartevents,Dialysis,,Text,,
225954,Dialysis Access Type,Dialysis Access Type,chartevents,Dialysis,,Text,,
224139,Dialysis Site Appearance,Dialysis Site Appearance,chartevents,Dialysis,,Text,,
225810,Dwell Time (Peritoneal Dialysis),Dwell Time (Hours),chartevents,Dialysis,hour,Numeric,,
224151,Effluent Pressure,Effluent Pressure,chartevents,Dialysis,mmHg,Numeric,,
224150,Filter Pressure,Filter Pressure,chartevents,Dialysis,mmHg,Numeric,,
226499,Hemodialysis Output,Hemodialysis Output,chartevents,Dialysis,mL,Numeric,,
225958,Heparin Concentration (units/mL),Heparin Concentration  (units/mL),chartevents,Dialysis,,Text,,
224145,Heparin Dose (per hour),Heparin Dose (per hour),chartevents,Dialysis,units,Numeric,,
224191,Hourly Patient Fluid Removal,Hourly PFR,chartevents,Dialysis,mL,Numeric,,
225952,Medication Added #1 (Peritoneal Dialysis),Medication Added #1 (PD),chartevents,Dialysis,,Text,,
227638,Medication Added #2 (Peritoneal Dialysis),Medication Added #2 (PD),chartevents,Dialysis,,Text,,
225959,Medication Added Amount  #1 (Peritoneal Dialysis),Medication Added Amount #1 (PD),chartevents,Dialysis,None,Numeric,,
227639,Medication Added Amount  #2 (Peritoneal Dialysis),Medication Added Amount  #2 (PD),chartevents,Dialysis,None,Numeric,,
225961,Medication Added Units #1 (Peritoneal Dialysis),Medication Added Units #1 (PD),chartevents,Dialysis,,Text,,
227640,Medication Added Units #2 (Peritoneal Dialysis),Medication Added Units #2 (PD),chartevents,Dialysis,,Text,,
228005,PBP (Prefilter) Replacement Rate,PBP (Prefilter) Replacement Rate,chartevents,Dialysis,ml/hr,Numeric,,
225805,Peritoneal Dialysis,Peritoneal Dialysis,procedureevents,Dialysis,None,Processes,,
225965,Peritoneal Dialysis Catheter Status,PD Catheter Status,chartevents,Dialysis,,Text,,
225963,Peritoneal Dialysis Catheter Type,PD Catheter Type,chartevents,Dialysis,,Text,,
225951,Peritoneal Dialysis Fluid Appearance,PD Fluid Appearance,chartevents,Dialysis,,Text,,
228006,Post Filter Replacement Rate,Post Filter Replacement Rate,chartevents,Dialysis,ml/hr,Numeric,,
229248,Pressure Drop,Pressure Drop,chartevents,Dialysis,mmHg,Numeric,,
225956,Reason for CRRT Filter Change,Reason for Filter Change,chartevents,Dialysis,,Text,,
225976,Replacement Fluid,Replacement Fluid,chartevents,Dialysis,,Text,,
230084,Replacement Fluid (Post-Filter),Replacement Fluid (Post-Filter),chartevents,Dialysis,,Text,,
230083,Replacement Fluid (Pre-Filter),Replacement Fluid (Pre-Filter),chartevents,Dialysis,,Text,,
224153,Replacement Rate,Replacement Rate,chartevents,Dialysis,ml/hr,Numeric,,
224152,Return Pressure,Return Pressure,chartevents,Dialysis,mmHg,Numeric,,
225953,Solution (Peritoneal Dialysis),Solution (PD),chartevents,Dialysis,,Text,,
224146,System Integrity,System Integrity,chartevents,Dialysis,,Text,,
229247,Trans Membrane Pressure,TMP,chartevents,Dialysis,mmHg,Numeric,,
226457,Ultrafiltrate Output,Ultrafiltrate Output,chartevents,Dialysis,mL,Numeric,,
224406,VEN Lumen Volume,VEN  Lumen Volume,chartevents,Dialysis,mL,Numeric,,
225806,Volume In (PD),Volume In (PD),chartevents,Dialysis,mL,Numeric,,
227438,Volume not removed,Volume not removed,chartevents,Dialysis,mL,Numeric,,
225807,Volume Out (PD),Volume Out (PD),chartevents,Dialysis,mL,Numeric,,
229819,Backup Controller (VAD),Backup Controller (VAD),chartevents,Durable VAD,,Text,,
229821,Device (VAD),Device (VAD),chartevents,Durable VAD,,Text,,
229822,Driveline Lock Engaged (VAD),Driveline Lock Engaged (VAD),chartevents,Durable VAD,,Text,,
229823,Flow (VAD),Flow (VAD),chartevents,Durable VAD,L/min,Numeric,,
229824,HCT (VAD),HCT (VAD),chartevents,Durable VAD,None,Numeric,,
229825,High Watts Alarm (VAD),High Watts Alarm (VAD),chartevents,Durable VAD,None,Numeric,,
229826,Low Flow Alarm (VAD),Low Flow Alarm (VAD),chartevents,Durable VAD,None,Numeric,,
229836,Low Speed Limit (VAD),Low Speed Limit (VAD),chartevents,Durable VAD,,Text,,
229895,Low Speed Limit (VAD),Low Speed Limit (VAD),chartevents,Durable VAD,RPM,Numeric,,
229827,Mean BP (VAD),Mean BP (VAD),chartevents,Durable VAD,mmHg,Numeric,,
229859,Power (Watts) (VAD),Power (Watts) (VAD),chartevents,Durable VAD,None,Numeric,,
229828,Pulsatility Index (VAD),Pulsatility Index (VAD),chartevents,Durable VAD,None,Numeric,,
229829,Speed (VAD),Speed (VAD),chartevents,Durable VAD,RPM,Numeric,,
229830,System controller in primary mode (VAD),System controller in primary mode (VAD),chartevents,Durable VAD,,Text,,
229831,System power module and self test (VAD),System power module and self test (VAD),chartevents,Durable VAD,,Text,,
229834,Waveform Peak (VAD),Waveform Peak (VAD),chartevents,Durable VAD,None,Numeric,,
229835,Waveform Trough (VAD),Waveform Trough (VAD),chartevents,Durable VAD,None,Numeric,,
229833,ZzWaveform Variability (VAD),ZzWaveform Variability (VAD),chartevents,Durable VAD,,Text,,
229832,ZzWaveform Variability (VAD)old,ZzWaveform Variability (VAD)old,chartevents,Durable VAD,None,Numeric,,
229853,Art Bubble On (CH),Art Bubble On (CH),chartevents,ECMO,,Checkbox,,
229879,Cannula sites visually inspected (CH),Cannula sites visually inspected (CH),chartevents,ECMO,,Text,,
229266,Cannula sites visually inspected (ECMO),Cannula sites visually inspected (ECMO),chartevents,ECMO,,Text,,
229840,Circuit Configuration (CH),Circuit Configuration (CH),chartevents,ECMO,,Text,,
229268,Circuit Configuration (ECMO),Circuit Configuration (ECMO),chartevents,ECMO,,Text,,
229878,Circuit inspected for clot (CH),Circuit inspected for clot (CH),chartevents,ECMO,,Text,,
229269,Circuit inspected for clot (ECMO),Circuit inspected for clot (ECMO),chartevents,ECMO,,Text,,
229852,Delta P (CH),Delta P (CH),chartevents,ECMO,None,Numeric,,
229855,Delta P Alarm (CH),Delta P Alarm (CH),chartevents,ECMO,None,Numeric,,
229873,Emergency Equipment at bedside (CH),Emergency Equipment at bedside (CH),chartevents,ECMO,,Text,,
229267,Emergency Equipment at bedside (ECMO),Emergency Equipment at bedside (ECMO),chartevents,ECMO,,Text,,
229841,FiO2 (CH),FiO2 (CH),chartevents,ECMO,%,Numeric,,
229280,FiO2 (ECMO),FiO2 (ECMO),chartevents,ECMO,%,Numeric,,
229842,Flow (CH),Flow (CH),chartevents,ECMO,L/min,Numeric,,
229270,Flow (ECMO),Flow (ECMO),chartevents,ECMO,L/min,Numeric,,
229843,Flow Alarm (Hi) (CH),Flow Alarm (Hi) (CH),chartevents,ECMO,None,Numeric,,
229271,Flow Alarm (Hi) (ECMO),Flow Alarm (Hi) (ECMO),chartevents,ECMO,None,Numeric,,
229844,Flow Alarm (Lo) (CH),Flow Alarm (Lo) (CH),chartevents,ECMO,None,Numeric,,
229272,Flow Alarm (Lo) (ECMO),Flow Alarm (Lo) (ECMO),chartevents,ECMO,None,Numeric,,
229874,Flow Sensor repositioned (CH),Flow Sensor repositioned (CH),chartevents,ECMO,,Text,,
229273,Flow Sensor repositioned (ECMO),Flow Sensor repositioned (ECMO),chartevents,ECMO,,Text,,
229875,Oxygenator visible (CH),Oxygenator visible (CH),chartevents,ECMO,,Text,,
229274,Oxygenator visible (ECMO),Oxygenator visible (ECMO),chartevents,ECMO,,Text,,
229365,P1 - P2 (ECMO),P1 - P2 (ECMO),chartevents,ECMO,mmHg,Numeric,,
229363,P1 (ECMO),P1 (ECMO),chartevents,ECMO,mmHg,Numeric,,
229364,P2 (ECMO),P2 (ECMO),chartevents,ECMO,mmHg,Numeric,,
229851,Part (CH),Part (CH),chartevents,ECMO,None,Numeric,,
229849,Part Alarm (Hi) (CH),Part Alarm (Hi) (CH),chartevents,ECMO,None,Numeric,,
229854,Pressures Off (CH),Pressures Off (CH),chartevents,ECMO,,Checkbox,,
229876,Pump plugged into RED outlet (CH),Pump plugged into RED outlet (CH),chartevents,ECMO,,Text,,
229275,Pump plugged into RED outlet (ECMO),Pump plugged into RED outlet (ECMO),chartevents,ECMO,,Text,,
229850,Pven (CH),Pven (CH),chartevents,ECMO,None,Numeric,,
229848,Pven Alarm (Lo) (CH),Pven Alarm (Lo) (CH),chartevents,ECMO,None,Numeric,,
229845,Speed (CH),Speed (CH),chartevents,ECMO,RPM,Numeric,,
229277,Speed (ECMO),Speed (ECMO),chartevents,ECMO,RPM,Numeric,,
229877,Suction events (CH),Suction events (CH),chartevents,ECMO,,Text,,
229276,Suction events (ECMO),Suction events (ECMO),chartevents,ECMO,,Text,,
229847,SvO2 Alarm (Lo) (CH),SvO2 Alarm (Lo) (CH),chartevents,ECMO,None,Numeric,,
229846,Sweep (CH),Sweep (CH),chartevents,ECMO,,Text,,
229278,Sweep (ECMO),Sweep (ECMO),chartevents,ECMO,,Text,,
220001,Problem List,Problem List,chartevents,General,,Text,,
227428,SOFA Score,SOFA Score,chartevents,General,None,Numeric,,
224876,Urine Appearance,Urine Appearance,chartevents,GI/GU,,Text,,
224016,Urine Color,Urine Color,chartevents,GI/GU,,Text,,
224015,Urine Source,Urine Source,chartevents,GI/GU,,Text,,
220074,Central Venous Pressure,CVP,chartevents,Hemodynamics,mmHg,Numeric,,
227543,CO (Arterial),CO (Arterial),chartevents,Hemodynamics,L/min,Numeric,4,8
220069,Left Artrial Pressure,LAP,chartevents,Hemodynamics,mmHg,Numeric,6,12
220125,Left Ventricular Assit Device Flow,LVAD,chartevents,Hemodynamics,L/min,Numeric,,
223773,PA Line cm Mark,PA Line cm Mark,chartevents,Hemodynamics,cm,Numeric,,
223771,PCWP,PCWP,chartevents,Hemodynamics,mmHg,Numeric,,
220060,Pulmonary Artery Pressure diastolic,PAPd,chartevents,Hemodynamics,mmHg,Numeric,8,15
220061,Pulmonary Artery Pressure mean,PAPm,chartevents,Hemodynamics,mmHg,Numeric,10,20
220059,Pulmonary Artery Pressure systolic,PAPs,chartevents,Hemodynamics,mmHg,Numeric,15,25
220128,Right Ventricular Assist Device Flow,RVAD,chartevents,Hemodynamics,L/min,Numeric,,
227549,ScvO2 (Presep),ScvO2 (Presep),chartevents,Hemodynamics,%,Numeric,,
227542,ScvO2 (Presep) Calibrated,ScvO2 (Presep) Calibrated,datetimeevents,Hemodynamics,,Date and time,,
227806,ScvO2 (Presep) SQI,ScvO2 (Presep) SQI,chartevents,Hemodynamics,,Text,,
227547,SV (Arterial),SV (Arterial),chartevents,Hemodynamics,mL/beat,Numeric,60,100
223772,SvO2,SvO2,chartevents,Hemodynamics,%,Numeric,60,80
227541,SvO2 Calibrated,SvO2 Calibrated,datetimeevents,Hemodynamics,,Date and time,,
227805,SvO2 SQI,SvO2 SQI,chartevents,Hemodynamics,,Text,,
227546,SVV (Arterial),SVV (Arterial),chartevents,Hemodynamics,%,Numeric,11,15
226191,Barrier precautions in place (Intubation),Barrier precautions in place (Intubation),chartevents,Intubation,,Text,,
228643,Barrier precautions in place (Intubation),Barrier precautions in place (Intubation),chartevents,Intubation,,Text,,
225593,Best Larynx View Obtained (Intubation),Best Larynx View Obtained (Intubation),chartevents,Intubation,,Text,,
225304,Blade / Equipment (Intubation),Blade / Equipment (Intubation),chartevents,Intubation,,Text,,
225587,Bougie (Intubation),Bougie (Intubation),chartevents,Intubation,,Checkbox,,
228068,Bougie (Intubation),Bougie (Intubation),chartevents,Intubation,,Text,,
227214,Cis-atracurium (Intubation),Cis-atracurium (Intubation),chartevents,Intubation,mg,Numeric,,
229784,Code Status (Intubation),Code Status (Intubation),chartevents,Intubation,,Text,,
226430,Complications (Intubation),Complications (Intubation),chartevents,Intubation,,Text,,
225267,Difficult to Intubate,Difficult to Intubate,chartevents,Intubation,,Checkbox,,
230073,Documented in DC Summary (Intub),Documented in DC Summary (Intub),chartevents,Intubation,,Text,,
226432,Drugs (Intubation),Drugs (Intubation),chartevents,Intubation,,Text,,
229792,Estimated Blood Loss (Intub),EBL (Intub),chartevents,Intubation,mL,Numeric,,
227212,Etomidate (Intubation),Etomidate (Intubation),chartevents,Intubation,mg,Numeric,,
225585,ETT Depth (Intubation),ETT Depth (Intubation),chartevents,Intubation,,Text,,
225592,ETT Size (Intubation),ETT Size (Intubation),chartevents,Intubation,,Text,,
226429,ETT Type (Intubation),ETT Type (Intubation),chartevents,Intubation,,Text,,
226190,Hand Cleansing prior to procedure (Intubation),Hand Cleansing prior to (Intubation),chartevents,Intubation,,Checkbox,,
228065,Hand Cleansing prior to procedure (Intubation),Hand Cleansing prior to procedure (Intubation),chartevents,Intubation,,Text,,
228071,I was present during the above procedure and agree with the checklist (Intubation),I was present during the procedure (Intubation),chartevents,Intubation,,Checkbox,,
225291,Indication (Intubation),Indication (Intubation),chartevents,Intubation,,Text,,
225271,Induction/Drugs/Doses (Intubation),Induction/Drugs/Doses (Intubation),chartevents,Intubation,,Text,,
227211,Ketamine (Intubation),Ketamine (Intubation),chartevents,Intubation,mg,Numeric,,
222871,Mallampati classification (Intubation),Mallampati classification (Intubation),chartevents,Intubation,,Text,,
225296,Mandibular Prognatism (Intubation),Mandibular Prognatism (Intubation),chartevents,Intubation,,Text,,
225303,Mask Ventilation (Intubation),Mask Ventilation (Intubation),chartevents,Intubation,,Text,,
225294,Mouth Opening (Intubation),Mouth Opening (Intubation),chartevents,Intubation,,Text,,
225308,Nasal ETT,Nasal ETT,chartevents,Intubation,,Checkbox,,
225298,Neck ROM (Intubation),Neck ROM (Intubation),chartevents,Intubation,,Text,,
226166,No Complications (Intubation),No Complications (Intubation),chartevents,Intubation,,Checkbox,,
225300,No Drugs Administered (Intubation),No Drugs Administered (Intubation),chartevents,Intubation,,Checkbox,,
225306,Number of Attempts (Intubation),Number of Attempts (Intubation),chartevents,Intubation,,Text,,
225307,Oral ETT,Oral ETT,chartevents,Intubation,,Checkbox,,
226189,Patient identified correctly by 2 means (Intubation),Patient identified correctly by 2 means (Intubatio,chartevents,Intubation,,Text,,
229789,Phenylephrine (Intubation),Phenylephrine (Intubation),chartevents,Intubation,mcg,Numeric,,
225302,Pre-Oxygentated (Intubation),Pre-Oxygentated (Intubation),chartevents,Intubation,,Checkbox,,
229786,Preoxygenation (Intubation),Preoxygenation (Intubation),chartevents,Intubation,,Text,,
227210,Propofol (Intubation),Propofol (Intubation),chartevents,Intubation,mg,Numeric,,
229787,Rigid Stylette (Intubation),Rigid Stylette (Intubation),chartevents,Intubation,,Text,,
229788,Rocuronium (Intubation),Rocuronium (Intubation),chartevents,Intubation,mg,Numeric,,
225301,RSI (Intubation),RSI (Intubation),chartevents,Intubation,,Checkbox,,
225586,Stylette (Intubation),Stylette (Intubation),chartevents,Intubation,,Checkbox,,
228067,Stylette (Intubation),Stylette (Intubation),chartevents,Intubation,,Text,,
227215,Succynlocholine (Intubation),Succynlocholine (Intubation),chartevents,Intubation,mg,Numeric,,
225297,Teeth/Dentition (Intubation),Teeth/Dentition (Intubation),chartevents,Intubation,,Text,,
228070,The Attending/Supervisor is the Clinical Operator (Intubation),The Attending/Supervisor (Intubation),chartevents,Intubation,,Checkbox,,
225295,Thyromental Distance (Intubation),Thyromental Distance (Intubation),chartevents,Intubation,,Text,,
226188,Timeout Performed by (Intubation),Timeout Performed by (Intubation),chartevents,Intubation,,Text,,
225590,Tracheal Confirmation (Intubation),Tracheal Confirmation (Intubation),chartevents,Intubation,,Text,,
225588,Tube Secured (Intubation),Tube Secured (Intubation),chartevents,Intubation,,Checkbox,,
228069,Tube Secured (Intubation),Tube Secured (Intubation),chartevents,Intubation,,Text,,
225292,Unable to complete Airway Assessment (Intubation),Unable to complete Airway (Intubation),chartevents,Intubation,,Checkbox,,
228066,Unable to complete Airway Assessment (Intubation),Unable to complete  Assessment (Intubation),chartevents,Intubation,,Text,,
227213,Vecuronium (Intubation),Vecuronium (Intubation),chartevents,Intubation,mg,Numeric,,
226431,Verification of (Intubation),Verification of (Intubation),chartevents,Intubation,,Text,,
229361,Absolute Count - Basos,Absolute Count - Basos,chartevents,Labs,None,Numeric,,
229360,Absolute Count - Eos,Absolute Count - Eos,chartevents,Labs,None,Numeric,,
229358,Absolute Count - Lymphs,Absolute Count - Lymphs,chartevents,Labs,None,Numeric,,
229359,Absolute Count - Monos,Absolute Count - Monos,chartevents,Labs,None,Numeric,,
229357,Absolute Count - Neuts,Absolute Count - Neuts,chartevents,Labs,None,Numeric,,
229362,Absolute Count - Retic,Absolute Count - Retic,chartevents,Labs,None,Numeric,,
229355,Absolute Neutrophil Count,Absolute Neutrophil Count,chartevents,Labs,None,Numeric,,
227456,Albumin,Albumin,chartevents,Labs,None,Numeric with tag,,
225612,Alkaline Phosphate,Alkaline Phosphate,chartevents,Labs,None,Numeric,,
220644,ALT,ALT,chartevents,Labs,None,Numeric,,
224828,Arterial Base Excess,Arterial Base Excess,chartevents,Labs,None,Numeric,,
220235,Arterial CO2 Pressure,PCO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
220224,Arterial O2 pressure,PO2 (Arterial),chartevents,Labs,mmHg,Numeric,,
220227,Arterial O2 Saturation,SaO2,chartevents,Labs,%,Numeric,,
220587,AST,AST,chartevents,Labs,None,Numeric,,
227444,C Reactive Protein (CRP),C Reactive Protein (CRP),chartevents,Labs,None,Numeric with tag,,
225625,Calcium non-ionized,Calcium non-ionized,chartevents,Labs,None,Numeric,,
227686,Central Venous O2% Sat,Central Venous O2% Sat,chartevents,Labs,%,Numeric,,
220602,Chloride (serum),Chloride (serum),chartevents,Labs,None,Numeric,,
228385,Chloride (serum) (soft),Chloride (serum) (soft),chartevents,Labs,None,Numeric with tag,,
226536,Chloride (whole blood),Chloride (whole blood),chartevents,Labs,None,Numeric,,
228386,Chloride (whole blood) (soft),Chloride (whole blood) (soft),chartevents,Labs,None,Numeric with tag,,
220603,Cholesterol,Cholesterol,chartevents,Labs,None,Numeric,,
220615,Creatinine (serum),Creatinine (serum),chartevents,Labs,None,Numeric,,
229761,Creatinine (whole blood),Creatinine (whole blood),chartevents,Labs,None,Numeric,,
225636,D-Dimer,D-Dimer,chartevents,Labs,None,Numeric,,
228240,D-Dimer (SOFT),D-Dimer (SOFT),chartevents,Labs,None,Numeric with tag,,
225639,Differential-Basos,Differential-Basos,chartevents,Labs,None,Numeric,,
225640,Differential-Eos,Differential-Eos,chartevents,Labs,None,Numeric,,
225641,Differential-Lymphs,Differential-Lymphs,chartevents,Labs,None,Numeric,,
225643,Differential-Neuts,Differential-Neuts,chartevents,Labs,None,Numeric,,
225651,Direct Bilirubin,Direct Bilirubin,chartevents,Labs,None,Numeric,,
220621,Glucose (serum),Glucose (serum),chartevents,Labs,None,Numeric,,
226537,Glucose (whole blood),Glucose (whole blood),chartevents,Labs,None,Numeric,,
228388,Glucose (whole blood) (soft),Glucose (whole blood) (soft),chartevents,Labs,None,Numeric with tag,,
225664,Glucose finger stick (range 70-100),Glucose FS (range 70 -100),chartevents,Labs,None,Numeric,,
227443,HCO3 (serum),HCO3 (serum),chartevents,Labs,None,Numeric with tag,,
220624,HDL,HDL,chartevents,Labs,None,Numeric,,
220545,Hematocrit (serum),Hematocrit (serum),chartevents,Labs,None,Numeric,,
226540,Hematocrit (whole blood - calc),Hematocrit (whole blood - calc),chartevents,Labs,None,Numeric,,
220228,Hemoglobin,Hemoglobin,chartevents,Labs,g/dl,Numeric,,
227467,INR,INR,chartevents,Labs,None,Numeric with tag,,
225668,Lactic Acid,Lactic Acid,chartevents,Labs,None,Numeric,,
220632,LDH,LDH,chartevents,Labs,None,Numeric,,
225671,LDL calculated,LDL calculated,chartevents,Labs,None,Numeric,,
227441,LDL measured,LDL measured,chartevents,Labs,None,Numeric with tag,,
220635,Magnesium,Magnesium,chartevents,Labs,None,Numeric,,
225674,Mixed Venous O2% Sat,Mixed Venous O2% Sat,chartevents,Labs,%,Numeric,,
223830,PH (Arterial),PH (Arterial),chartevents,Labs,None,Numeric,,
220734,PH (dipstick),PH (dipstick),chartevents,Labs,None,Numeric,,
